text,category
looking for sugar-free snack options for diabetes,diabetes
"I want to lose weight, give me a breakfast plan",weight_management
Protein rich foods for my workout Please help.,high_protein
well rounded balanced diet please help.,balanced_diet
protein heavy food recommendations please help.,high_protein
I have high blood pressure and want a dinner plan,hypertension
Heart friendly meals,heart_healthy
I want a low sodium breakfast plan,low_sodium
i need more protein in my diet please help.,high_protein
"Hi, Pure vegan diet plan",vegan
Meals with lots of protein,high_protein
Meals for weight management and fat loss Please help.,weight_management
I have typhoid fever and need a breakfast plan,typhoid
"hi, i have jaundice and need a diet plan",jaundice
Typhoid friendly diet recommendations Please help.,typhoid
I need a vegetarian lunch plan without eggs Please help.,vegetarian
i am a vegetarian and want a weekly plan,vegetarian
Low cholesterol heart healthy diet,heart_healthy
Plant based but not vegan meals,vegetarian
"hi, i need more protein in my diet please help.",high_protein
suggest a balanced dinner option,balanced_diet
"Hi, I have diabetes and need a weekly plan",diabetes
i want a heart healthy weekly plan,heart_healthy
"Hi, Plant based but not vegan meals",vegetarian
diet for bodybuilding with high protein,high_protein
blood pressure friendly dinner ideas,hypertension
"hi, meals for hypertension control please help.",hypertension
diet plan for typhoid patient,typhoid
I need a dinner plan for jaundice patient,jaundice
"Hi, Vegan diet plan for the whole week",vegan
Diabetic friendly meal suggestions please,diabetes
What to eat during typhoid? Please help.,typhoid
I want a heart healthy dinner plan,heart_healthy
I need a low glycemic index diet,diabetes
Typhoid friendly diet recommendations,typhoid
Diet plan for weight loss Please help.,weight_management
Vegetarian diet plan for the week,vegetarian
"Hi, Low cholesterol heart healthy diet",heart_healthy
Blood pressure friendly daily ideas Please help.,hypertension
Diet for good cardiovascular health,heart_healthy
"Hi, I am recovering from typhoid fever",typhoid
Plant based vegan meals only Please help.,vegan
Salt free or low sodium meals,low_sodium
"Hi, I don't eat meat, need a pure vegetarian diet",vegetarian
"I don't eat meat, need a pure vegetarian diet",vegetarian
"hi, i need a calorie deficit diet plan",weight_management
"Hi, Vegetarian options for a healthy lifestyle",vegetarian
"Hi, Can you suggest a healthy meal plan for someone with diabetes?",diabetes
"Hi, Meals with lots of protein",high_protein
I am diabetic and want to plan my diet,diabetes
pure vegan diet plan,vegan
"Hi, I need a sodium restricted diet Please help.",low_sodium
Low salt diet plan,low_sodium
Diet with minimum sodium content,low_sodium
typhoid friendly diet recommendations please help.,typhoid
"Hi, Vegan diet plan for the whole week",vegan
"Hi, Meals with lots of protein",high_protein
"Hi, Protein heavy food recommendations",high_protein
typhoid friendly diet recommendations,typhoid
I have typhoid fever and need a snack plan,typhoid
I want a diet plan for my hypertension,hypertension
Complete balanced nutrition plan,balanced_diet
"hi, suggest low sodium daily options",low_sodium
healthy diet for maintaining my weight,weight_management
"Hi, Diet plan for weight loss Please help.",weight_management
Salt free or low sodium meals Please help.,low_sodium
I need a dairy-free and meat-free vegan diet Please help.,vegan
Blood pressure friendly breakfast ideas Please help.,hypertension
"Hi, What to eat during typhoid? Please help.",typhoid
Typhoid friendly diet recommendations,typhoid
balanced diet with all nutrients,balanced_diet
I just want a healthy daily plan,general_health
"hi, diet with minimum sodium content",low_sodium
Vegan snack options for healthy living Please help.,vegan
A balanced diet for everyday living Please help.,balanced_diet
"Hi, I need a perfectly balanced weekly plan",balanced_diet
Meals for weight management and fat loss,weight_management
"Hi, Diet for good cardiovascular health Please help.",heart_healthy
I suffer from high BP and need healthy food Please help.,hypertension
